,Differential 9 - 10 Last (V),Iluminação,Humidade,Anotacao
00:01:50,-0.038746,0,0,0
00:01:51,-0.038889,0,0,0
00:01:52,-0.038924,0,0,0
00:01:53,-0.038762,0,0,0
00:01:54,-0.038614,0,0,0
00:01:55,-0.038648,0,0,0
00:01:56,-0.038756,0,0,0
00:01:57,-0.038754,0,0,0
00:01:58,-0.038634,0,0,0
00:01:59,-0.038499,0,0,0
00:02:00,-0.038577,0,0,0
00:02:01,-0.038664,0,0,0
00:02:02,-0.038507,0,0,0
00:02:03,-0.038256,0,0,0
00:02:04,-0.038307,0,0,0
00:02:05,-0.038495,0,0,0
00:02:06,-0.038400,0,0,0
00:02:07,-0.038253,0,0,0
00:02:08,-0.038107,0,0,0
00:02:09,-0.038201,0,0,0
00:02:10,-0.038364,0,0,0
00:02:11,-0.038305,0,0,0
00:02:12,-0.038072,0,0,0
00:02:13,-0.038043,0,0,0
00:02:14,-0.038228,0,0,0
00:02:15,-0.038240,0,0,0
00:02:16,-0.038082,0,0,0
00:02:17,-0.037916,0,0,0
00:02:18,-0.037918,0,0,0
00:02:19,-0.037975,0,0,0
00:02:20,-0.038036,0,0,0
00:02:21,-0.037959,0,0,0
00:02:22,-0.037723,0,0,0
00:02:23,-0.037694,0,0,0
00:02:24,-0.037861,0,0,0
00:02:25,-0.037885,0,0,0
00:02:26,-0.037889,0,0,0
00:02:27,-0.037792,0,0,0
00:02:28,-0.037663,0,0,0
00:02:29,-0.037495,0,0,0
00:02:30,-0.037488,0,0,0
00:02:31,-0.037643,0,0,0
00:02:32,-0.037670,0,0,0
00:02:33,-0.037644,0,0,0
00:02:34,-0.037520,0,0,0
00:02:35,-0.037354,0,0,0
00:02:36,-0.037345,0,0,0
00:02:37,-0.037310,0,0,0
00:02:38,-0.037368,0,0,0
00:02:39,-0.037433,0,0,0
00:02:40,-0.037392,0,0,0
00:02:41,-0.037095,0,0,0
00:02:42,-0.037038,0,0,0
00:02:43,-0.037138,0,0,0
00:02:44,-0.037179,0,0,0
00:02:45,-0.037126,0,0,0
00:02:46,-0.036996,0,0,0
00:02:47,-0.036898,0,0,0
00:02:48,-0.036870,0,0,0
00:02:49,-0.036923,0,0,0
00:02:50,-0.037036,0,0,0
00:02:51,-0.036919,0,0,0
00:02:52,-0.036735,0,0,0
00:02:53,-0.036631,0,0,0
00:02:54,-0.036627,0,0,0
00:02:55,-0.036659,0,0,0
00:02:56,-0.036759,0,0,0
00:02:57,-0.036774,0,0,0
00:02:58,-0.036618,0,0,0
00:02:59,-0.036526,0,0,0
00:03:00,-0.036450,0,0,0
00:03:01,-0.036439,0,0,0
00:03:02,-0.036547,0,0,0
00:03:03,-0.036573,0,0,0
00:03:04,-0.036483,0,0,0
00:03:05,-0.036340,0,0,0
00:03:06,-0.036232,0,0,0
00:03:07,-0.036179,0,0,0
00:03:08,-0.036183,0,0,0
00:03:09,-0.036357,0,0,0
00:03:10,-0.036345,0,0,0
00:03:11,-0.036163,0,0,0
00:03:12,-0.036006,0,0,0
00:03:13,-0.035921,0,0,0
00:03:14,-0.035969,0,0,0
00:03:15,-0.036102,0,0,0
00:03:16,-0.036113,0,0,0
00:03:17,-0.035851,0,0,0
00:03:18,-0.035781,0,0,0
00:03:19,-0.035809,0,0,0
00:03:20,-0.035918,0,0,0
00:03:21,-0.036045,0,0,0
00:03:22,-0.036005,0,0,0
00:03:23,-0.035697,0,0,0
00:03:24,-0.035637,0,0,0
00:03:25,-0.035636,0,0,0
00:03:26,-0.035823,0,0,0
00:03:27,-0.035878,0,0,0
00:03:28,-0.035892,0,0,0
00:03:29,-0.035775,0,0,0
00:03:30,-0.035563,0,0,0
00:03:31,-0.035516,0,0,0
00:03:32,-0.035649,0,0,0
00:03:33,-0.035698,0,0,0
00:03:34,-0.035691,0,0,0
00:03:35,-0.035586,0,0,0
00:03:36,-0.035360,0,0,0
00:03:37,-0.035310,0,0,0
00:03:38,-0.035460,0,0,0
00:03:39,-0.035538,0,0,0
00:03:40,-0.035523,0,0,0
00:03:41,-0.035406,0,0,0
00:03:42,-0.035178,0,0,0
00:03:43,-0.035186,0,0,0
00:03:44,-0.035188,0,0,0
00:03:45,-0.035381,0,0,0
00:03:46,-0.035390,0,0,0
00:03:47,-0.035108,0,0,0
00:03:48,-0.034927,0,0,0
00:03:49,-0.034901,0,0,0
00:03:50,-0.034931,0,0,0
00:03:51,-0.035112,0,0,0
00:03:52,-0.035138,0,0,0
00:03:53,-0.034904,0,0,0
00:03:54,-0.034638,0,0,0
00:03:55,-0.034604,0,0,0
00:03:56,-0.034531,0,0,0
00:03:57,-0.034739,0,0,0
00:03:58,-0.034768,0,0,0
00:03:59,-0.034671,0,0,0
00:04:00,-0.034540,0,0,0
00:04:01,-0.034422,0,0,0
00:04:02,-0.034738,0,0,0
00:04:03,-0.034528,0,0,0
00:04:04,-0.034351,0,0,0
00:04:05,-0.034071,0,0,0
00:04:06,-0.034299,0,0,0
00:04:07,-0.034298,0,0,0
00:04:08,-0.034146,0,0,0
00:04:09,-0.033945,0,0,0
00:04:10,-0.034204,0,0,0
00:04:11,-0.034363,0,0,0
00:04:12,-0.034457,0,0,0
00:04:13,-0.034404,0,0,0
00:04:14,-0.034201,0,0,0
00:04:15,-0.034116,0,0,0
00:04:16,-0.034166,0,0,0
00:04:17,-0.034218,0,0,0
00:04:18,-0.034286,0,0,0
00:04:19,-0.034195,0,0,0
00:04:20,-0.033956,0,0,0
00:04:21,-0.033896,0,0,0
00:04:22,-0.034032,0,0,0
00:04:23,-0.034073,0,0,0
00:04:24,-0.034144,0,0,0
00:04:25,-0.034005,0,0,0
00:04:26,-0.033909,0,0,0
00:04:27,-0.033825,0,0,0
00:04:28,-0.033804,0,0,0
00:04:29,-0.034001,0,0,0
00:04:30,-0.034105,0,0,0
00:04:31,-0.033979,0,0,0
00:04:32,-0.033836,0,0,0
00:04:33,-0.033686,0,0,0
00:04:34,-0.033718,0,0,0
00:04:35,-0.033877,0,0,0
00:04:36,-0.033926,0,0,0
00:04:37,-0.033624,0,0,0
00:04:38,-0.033548,0,0,0
00:04:39,-0.033503,0,0,0
00:04:40,-0.033440,0,0,0
00:04:41,-0.033305,0,0,0
00:04:42,-0.033339,0,0,0
00:04:43,-0.033277,0,0,0
00:04:44,-0.033326,0,0,0
00:04:45,-0.033358,0,0,0
00:04:46,-0.033344,0,0,0
00:04:47,-0.033286,0,0,0
00:04:48,-0.033139,0,0,0
00:04:49,-0.033115,0,0,0
00:04:50,-0.033410,0,0,0
00:04:51,-0.033370,0,0,0
00:04:52,-0.033198,0,0,0
00:04:53,-0.033172,0,0,0
00:04:54,-0.032842,0,0,0
00:04:55,-0.033139,0,0,0
00:04:56,-0.032986,0,0,0
00:04:57,-0.033002,0,0,0
00:04:58,-0.032841,0,0,0
00:04:59,-0.032820,0,0,0
00:05:00,-0.032907,0,0,0
00:05:01,-0.032964,0,0,0
00:05:02,-0.032995,0,0,0
00:05:03,-0.032933,0,0,0
00:05:04,-0.032791,0,0,0
00:05:05,-0.032673,0,0,0
00:05:06,-0.032651,0,0,0
00:05:07,-0.032789,0,0,0
00:05:08,-0.032806,0,0,0
00:05:09,-0.032814,0,0,0
00:05:10,-0.032750,0,0,0
00:05:11,-0.032559,0,0,0
00:05:12,-0.032296,0,0,0
00:05:13,-0.032244,0,0,0
00:05:14,-0.032088,0,0,0
00:05:15,-0.032169,0,0,0
00:05:16,-0.032261,0,0,0
00:05:17,-0.032345,0,0,0
00:05:18,-0.032341,0,0,0
00:05:19,-0.032156,0,0,0
00:05:20,-0.032006,0,0,0
00:05:21,-0.032051,0,0,0
00:05:22,-0.032037,0,0,0
00:05:23,-0.032020,0,0,0
00:05:24,-0.032114,0,0,0
00:05:25,-0.032054,0,0,0
00:05:26,-0.031856,0,0,0
00:05:27,-0.031709,0,0,0
00:05:28,-0.032065,0,0,0
00:05:29,-0.032062,0,0,0
00:05:30,-0.031883,0,0,0
00:05:31,-0.031746,0,0,0
00:05:32,-0.031598,0,0,0
00:05:33,-0.031451,0,0,0
00:05:34,-0.031435,0,0,0
00:05:35,-0.031528,0,0,0
00:05:36,-0.031538,0,0,0
00:05:37,-0.031548,0,0,0
00:05:38,-0.031380,0,0,0
00:05:39,-0.031379,0,0,0
00:05:40,-0.031519,0,0,0
00:05:41,-0.031716,0,0,0
00:05:42,-0.031594,0,0,0
00:05:43,-0.031497,0,0,0
00:05:44,-0.031524,0,0,0
00:05:45,-0.031705,0,0,0
00:05:46,-0.031699,0,0,0
00:05:47,-0.031596,0,0,0
00:05:48,-0.031478,0,0,0
00:05:49,-0.031311,0,0,0
00:05:50,-0.031171,0,0,0
00:05:51,-0.031115,0,0,0
00:05:52,-0.031194,0,0,0
00:05:53,-0.031232,0,0,0
00:05:54,-0.031180,0,0,0
00:05:55,-0.031108,0,0,0
00:05:56,-0.031080,0,0,0
00:05:57,-0.030988,0,0,0
00:05:58,-0.030968,0,0,0
00:05:59,-0.031111,0,0,0
00:06:00,-0.031171,0,0,0
00:06:01,-0.031135,0,0,0
00:06:02,-0.031081,0,0,0
00:06:03,-0.030998,0,0,0
00:06:04,-0.030988,0,0,0
00:06:05,-0.031009,0,0,0
00:06:06,-0.031074,0,0,0
00:06:07,-0.030892,0,0,0
00:06:08,-0.030746,0,0,0
00:06:09,-0.030567,0,0,0
00:06:10,-0.030636,0,0,0
00:06:11,-0.030612,0,0,0
00:06:12,-0.030508,0,0,0
00:06:13,-0.030397,0,0,0
00:06:14,-0.030280,0,0,0
00:06:15,-0.030300,0,0,0
00:06:16,-0.030329,0,0,0
00:06:17,-0.030296,0,0,0
00:06:18,-0.030168,0,0,0
00:06:19,-0.030083,0,0,0
00:06:20,-0.030123,0,0,0
00:06:21,-0.030334,0,0,0
00:06:22,-0.030226,0,0,0
00:06:23,-0.029987,0,0,0
00:06:24,-0.029835,0,0,0
00:06:25,-0.029980,0,0,0
00:06:26,-0.029984,0,0,0
00:06:27,-0.030094,0,0,0
00:06:28,-0.030035,0,0,0
00:06:29,-0.029708,0,0,0
00:06:30,-0.029576,0,0,0
00:06:31,-0.029606,0,0,0
00:06:32,-0.029646,0,0,0
00:06:33,-0.029807,0,0,0
00:06:34,-0.029751,0,0,0
00:06:35,-0.029522,0,0,0
00:06:36,-0.029392,0,0,0
00:06:37,-0.029292,0,0,0
00:06:38,-0.029323,0,0,0
00:06:39,-0.029534,0,0,0
00:06:40,-0.029488,0,0,0
00:06:41,-0.029297,0,0,0
00:06:42,-0.029138,0,0,0
00:06:43,-0.029008,0,0,0
00:06:44,-0.029081,0,0,0
00:06:45,-0.029169,0,0,0
00:06:46,-0.029291,0,0,0
00:06:47,-0.029154,0,0,0
00:06:48,-0.028613,0,0,0
00:06:49,-0.028606,0,0,0
00:06:50,-0.028361,0,0,0
00:06:51,-0.028970,0,0,0
00:06:52,-0.028990,0,0,0
00:06:53,-0.028606,0,0,0
00:06:54,-0.028624,0,0,0
00:06:55,-0.028726,0,0,0
00:06:56,-0.028955,0,0,0
00:06:57,-0.029028,0,0,0
00:06:58,-0.028950,0,0,0
00:06:59,-0.028682,0,0,0
00:07:00,-0.028381,0,0,0
00:07:01,-0.028350,0,0,0
00:07:02,-0.028325,0,0,0
00:07:03,-0.028213,0,0,0
00:07:04,-0.028151,0,0,0
00:07:05,-0.028257,0,0,0
00:07:06,-0.028247,0,0,0
00:07:07,-0.028316,0,0,0
00:07:08,-0.028298,0,0,0
00:07:09,-0.028194,0,0,0
00:07:10,-0.028163,0,0,0
00:07:11,-0.028104,0,0,0
00:07:12,-0.028161,0,0,0
00:07:13,-0.028057,0,0,0
00:07:14,-0.027935,0,0,0
00:07:15,-0.027986,0,0,0
00:07:16,-0.027013,0,0,0
00:07:17,-0.027088,0,0,0
00:07:18,-0.026974,0,0,0
00:07:19,-0.026788,0,0,0
00:07:20,-0.026662,0,0,0
00:07:21,-0.026527,0,0,0
00:07:22,-0.026580,0,0,0
00:07:23,-0.026482,0,0,0
00:07:24,-0.026567,0,0,0
00:07:25,-0.026636,0,0,0
00:07:26,-0.026311,0,0,0
00:07:27,-0.026334,0,0,0
00:07:28,-0.026229,0,0,0
00:07:29,-0.026191,0,0,0
00:07:30,-0.026434,0,0,0
00:07:31,-0.026365,0,0,0
00:07:32,-0.026256,0,0,0
00:07:33,-0.026282,0,0,0
00:07:34,-0.026127,0,0,0
00:07:35,-0.026088,0,0,0
00:07:36,-0.026233,0,0,0
00:07:37,-0.026276,0,0,0
00:07:38,-0.026253,0,0,0
00:07:39,-0.026132,0,0,0
00:07:40,-0.026125,0,0,0
00:07:41,-0.026182,0,0,0
00:07:42,-0.026237,0,0,0
00:07:43,-0.026230,0,0,0
00:07:44,-0.026183,0,0,0
00:07:45,-0.026003,0,0,0
00:07:46,-0.025914,0,0,0
00:07:47,-0.026035,0,0,0
00:07:48,-0.025972,0,0,0
00:07:49,-0.025724,0,0,0
00:07:50,-0.025913,0,0,0
00:07:51,-0.025620,0,0,0
00:07:52,-0.025701,0,0,0
00:07:53,-0.025961,0,0,0
00:07:54,-0.025878,0,0,0
00:07:55,-0.025765,0,0,0
00:07:56,-0.025702,0,0,0
00:07:57,-0.025578,0,0,0
00:07:58,-0.025552,0,0,0
00:07:59,-0.025571,0,0,0
00:08:00,-0.025616,0,0,0
00:08:01,-0.025644,0,0,0
00:08:02,-0.025574,0,0,0
00:08:03,-0.025510,0,0,0
00:08:04,-0.025359,0,0,0
00:08:05,-0.025321,0,0,0
00:08:06,-0.025350,0,0,0
00:08:07,-0.025344,0,0,0
00:08:08,-0.025336,0,0,0
00:08:09,-0.025256,0,0,0
00:08:10,-0.025109,0,0,0
00:08:11,-0.025083,0,0,0
00:08:12,-0.025013,0,0,0
00:08:13,-0.024930,0,0,0
00:08:14,-0.024975,0,0,0
00:08:15,-0.024930,0,0,0
00:08:16,-0.024827,0,0,0
00:08:17,-0.024788,0,0,0
00:08:18,-0.024840,0,0,0
00:08:19,-0.024860,0,0,0
00:08:20,-0.024911,0,0,0
00:08:21,-0.024882,0,0,0
00:08:22,-0.024824,0,0,0
00:08:23,-0.024933,0,0,0
00:08:24,-0.024775,0,0,0
00:08:25,-0.024995,0,0,0
00:08:26,-0.024734,0,0,0
00:08:27,-0.024553,0,0,0
00:08:28,-0.024676,0,0,0
00:08:29,-0.024799,0,0,0
00:08:30,-0.024482,0,0,0
00:08:31,-0.024602,0,0,0
00:08:32,-0.024652,0,0,0
00:08:33,-0.024626,0,0,0
00:08:34,-0.024547,0,0,0
00:08:35,-0.024436,0,0,0
00:08:36,-0.024337,0,0,0
00:08:37,-0.024421,0,0,0
00:08:38,-0.024411,0,0,0
00:08:39,-0.024434,0,0,0
00:08:40,-0.024289,0,0,0
00:08:41,-0.024279,0,0,0
00:08:42,-0.024256,0,0,0
00:08:43,-0.024202,0,0,0
00:08:44,-0.024268,0,0,0
00:08:45,-0.024215,0,0,0
00:08:46,-0.024161,0,0,0
00:08:47,-0.024035,0,0,0
00:08:48,-0.023976,0,0,0
00:08:49,-0.024021,0,0,0
00:08:50,-0.024100,0,0,0
00:08:51,-0.024095,0,0,0
00:08:52,-0.023929,0,0,0
00:08:53,-0.023853,0,0,0
00:08:54,-0.023897,0,0,0
00:08:55,-0.023801,0,0,0
00:08:56,-0.023702,0,0,0
00:08:57,-0.023600,0,0,0
00:08:58,-0.023547,0,0,0
00:08:59,-0.023779,0,0,0
00:09:00,-0.023676,0,0,0
00:09:01,-0.023492,0,0,0
00:09:02,-0.023318,0,0,0
00:09:03,-0.023526,0,0,0
00:09:04,-0.023385,0,0,0
00:09:05,-0.023489,0,0,0
00:09:06,-0.023249,0,0,0
00:09:07,-0.023267,0,0,0
00:09:08,-0.023117,0,0,0
00:09:09,-0.023215,0,0,0
00:09:10,-0.023296,0,0,0
00:09:11,-0.023398,0,0,0
00:09:12,-0.023380,0,0,0
00:09:13,-0.023234,0,0,0
00:09:14,-0.023169,0,0,0
00:09:15,-0.023282,0,0,0
00:09:16,-0.023299,0,0,0
00:09:17,-0.023251,0,0,0
00:09:18,-0.023134,0,0,0
00:09:19,-0.023034,0,0,0
00:09:20,-0.023084,0,0,0
00:09:21,-0.023119,0,0,0
00:09:22,-0.023029,0,0,0
00:09:23,-0.022883,0,0,0
00:09:24,-0.022874,0,0,0
00:09:25,-0.022869,0,0,0
00:09:26,-0.022876,0,0,0
00:09:27,-0.022824,0,0,0
00:09:28,-0.022686,0,0,0
00:09:29,-0.022675,0,0,0
00:09:30,-0.022740,0,0,0
00:09:31,-0.022694,0,0,0
00:09:32,-0.022646,0,0,0
00:09:33,-0.022588,0,0,0
00:09:34,-0.022546,0,0,0
00:09:35,-0.022699,0,0,0
00:09:36,-0.022747,0,0,0
00:09:37,-0.022552,0,0,0
00:09:38,-0.022458,0,0,0
00:09:39,-0.022434,0,0,0
00:09:40,-0.022494,0,0,0
00:09:41,-0.022485,0,0,0
00:09:42,-0.022376,0,0,0
00:09:43,-0.022202,0,0,0
00:09:44,-0.022204,0,0,0
00:09:45,-0.022256,0,0,0
00:09:46,-0.022218,0,0,0
00:09:47,-0.022083,0,0,0
00:09:48,-0.021976,0,0,0
00:09:49,-0.022118,0,0,0
00:09:50,-0.022060,0,0,0
00:09:51,-0.022105,0,0,0
00:09:52,-0.021928,0,0,0
00:09:53,-0.021775,0,0,0
00:09:54,-0.021752,0,0,0
00:09:55,-0.021704,0,0,0
00:09:56,-0.021696,0,0,0
00:09:57,-0.021761,0,0,0
00:09:58,-0.021745,0,0,0
00:09:59,-0.021718,0,0,0
00:10:00,-0.021687,0,0,0
00:10:01,-0.021647,0,0,0
00:10:02,-0.021714,0,0,0
00:10:03,-0.021655,0,0,0
00:10:04,-0.021532,0,0,0
00:10:05,-0.021332,0,0,0
00:10:06,-0.021240,0,0,0
00:10:07,-0.021233,0,0,0
00:10:08,-0.021362,0,0,0
00:10:09,-0.021309,0,0,0
00:10:10,-0.021223,0,0,0
00:10:11,-0.021115,0,0,0
00:10:12,-0.020970,0,0,0
00:10:13,-0.020911,0,0,0
00:10:14,-0.020995,0,0,0
00:10:15,-0.020965,0,0,0
00:10:16,-0.020939,0,0,0
00:10:17,-0.020786,0,0,0
00:10:18,-0.020762,0,0,0
00:10:19,-0.020776,0,0,0
00:10:20,-0.020792,0,0,0
00:10:21,-0.020912,0,0,0
00:10:22,-0.020674,0,0,0
00:10:23,-0.021039,0,0,0
00:10:24,-0.021064,0,0,0
00:10:25,-0.020803,0,0,0
00:10:26,-0.020596,0,0,0
00:10:27,-0.020466,0,0,0
00:10:28,-0.020507,0,0,0
00:10:29,-0.020138,0,0,0
00:10:30,-0.020240,0,0,0
00:10:31,-0.020430,0,0,0
00:10:32,-0.020459,0,0,0
00:10:33,-0.020398,0,0,0
00:10:34,-0.020400,0,0,0
00:10:35,-0.020424,0,0,0
00:10:36,-0.020792,0,0,0
00:10:37,-0.020259,0,0,0
00:10:38,-0.020292,0,0,0
00:10:39,-0.020359,0,0,0
00:10:40,-0.020252,0,0,0
00:10:41,-0.020231,0,0,0
00:10:42,-0.020146,0,0,0
00:10:43,-0.020205,0,0,0
00:10:44,-0.020260,0,0,0
00:10:45,-0.020119,0,0,0
00:10:46,-0.020066,0,0,0
00:10:47,-0.020089,0,0,0
00:10:48,-0.020193,0,0,0
00:10:49,-0.020073,0,0,0
00:10:50,-0.020100,0,0,0
00:10:51,-0.020006,0,0,0
00:10:52,-0.020232,0,0,0
00:10:53,-0.020176,0,0,0
00:10:54,-0.019920,0,0,0
00:10:55,-0.019672,0,0,0
00:10:56,-0.019640,0,0,0
00:10:57,-0.019933,0,0,0
00:10:58,-0.020045,0,0,0
00:10:59,-0.019728,0,0,0
00:11:00,-0.019239,0,0,0
00:11:01,-0.019179,0,0,0
00:11:02,-0.019275,0,0,0
00:11:03,-0.019536,0,0,0
00:11:04,-0.019525,0,0,0
00:11:05,-0.019157,0,0,0
00:11:06,-0.018993,0,0,0
00:11:07,-0.018994,0,0,0
00:11:08,-0.019135,0,0,0
00:11:09,-0.019291,0,0,0
00:11:10,-0.019238,0,0,0
00:11:11,-0.018956,0,0,0
00:11:12,-0.018784,0,0,0
00:11:13,-0.018854,0,0,0
00:11:14,-0.018896,0,0,0
00:11:15,-0.019043,0,0,0
00:11:16,-0.018931,0,0,0
00:11:17,-0.018756,0,0,0
00:11:18,-0.018621,0,0,0
00:11:19,-0.018715,0,0,0
00:11:20,-0.019079,0,0,0
00:11:21,-0.019068,0,0,0
00:11:22,-0.018758,0,0,0
00:11:23,-0.018654,0,0,0
00:11:24,-0.018861,0,0,0
00:11:25,-0.019031,0,0,0
00:11:26,-0.019013,0,0,0
00:11:27,-0.018686,0,0,0
00:11:28,-0.018442,0,0,0
00:11:29,-0.018625,0,0,0
00:11:30,-0.018850,0,0,0
00:11:31,-0.018672,0,0,0
00:11:32,-0.018269,0,0,0
00:11:33,-0.018264,0,0,0
00:11:34,-0.018737,0,0,0
00:11:35,-0.018727,0,0,0
00:11:36,-0.018556,0,0,0
00:11:37,-0.018235,0,0,0
00:11:38,-0.018345,0,0,0
00:11:39,-0.018625,0,0,0
00:11:40,-0.018528,0,0,0
00:11:41,-0.018028,0,0,0
00:11:42,-0.017954,0,0,0
00:11:43,-0.018328,0,0,0
00:11:44,-0.018332,0,0,0
00:11:45,-0.017928,0,0,0
00:11:46,-0.017750,0,0,0
00:11:47,-0.018027,0,0,0
00:11:48,-0.018238,0,0,0
00:11:49,-0.018031,0,0,0
00:11:50,-0.017784,0,0,0
00:11:51,-0.017819,0,0,0
00:11:52,-0.018005,0,0,0
00:11:53,-0.018182,0,0,0
00:11:54,-0.018094,0,0,0
00:11:55,-0.017794,0,0,0
00:11:56,-0.017802,0,0,0
00:11:57,-0.017854,0,0,0
00:11:58,-0.018161,0,0,0
00:11:59,-0.018066,0,0,0
00:12:00,-0.017658,0,0,0
00:12:01,-0.017473,0,0,0
00:12:02,-0.017602,0,0,0
00:12:03,-0.017527,0,0,0
00:12:04,-0.017451,0,0,0
00:12:05,-0.017619,0,0,0
00:12:06,-0.017386,0,0,0
00:12:07,-0.017292,0,0,0
00:12:08,-0.017338,0,0,0
00:12:09,-0.017523,0,0,0
00:12:10,-0.017449,0,0,0
00:12:11,-0.017312,0,0,0
00:12:12,-0.017076,0,0,0
00:12:13,-0.017156,0,0,0
00:12:14,-0.017518,0,0,0
00:12:15,-0.017398,0,0,0
00:12:16,-0.017283,0,0,0
00:12:17,-0.016880,0,0,0
00:12:18,-0.016685,0,0,0
00:12:19,-0.016873,0,0,0
00:12:20,-0.017111,0,0,0
00:12:21,-0.017095,0,0,0
00:12:22,-0.017046,0,0,0
00:12:23,-0.016842,0,0,0
00:12:24,-0.016933,0,0,0
00:12:25,-0.017190,0,0,0
00:12:26,-0.017122,0,0,0
00:12:27,-0.016776,0,0,0
00:12:28,-0.016724,0,0,0
00:12:29,-0.016933,0,0,0
00:12:30,-0.017001,0,0,0
00:12:31,-0.016714,0,0,0
00:12:32,-0.016607,0,0,0
00:12:33,-0.016772,0,0,0
00:12:34,-0.016745,0,0,0
00:12:35,-0.016693,0,0,0
00:12:36,-0.016336,0,0,0
00:12:37,-0.016172,0,0,0
00:12:38,-0.016420,0,0,0
00:12:39,-0.016456,0,0,0
00:12:40,-0.016234,0,0,0
00:12:41,-0.015979,0,0,0
00:12:42,-0.016137,0,0,0
00:12:43,-0.016355,0,0,0
00:12:44,-0.016354,0,0,0
00:12:45,-0.016276,0,0,0
00:12:46,-0.015931,0,0,0
00:12:47,-0.016006,0,0,0
00:12:48,-0.016269,0,0,0
00:12:49,-0.016387,0,0,0
00:12:50,-0.016235,0,0,0
00:12:51,-0.016002,0,0,0
00:12:52,-0.015998,0,0,0
00:12:53,-0.016099,0,0,0
